Designacao;Seccao;Diametro;Peso;Mod. Elasticidade;Coef. Dilat.;Tmax;Resist.;Coef. Dist.;
A366 ASTER;366,22;24,85;1,5737;58124;2,30E-05;12035;0,0905;0,6;
A570 ASTER;570,24;31,05;1,0086;55000;2,30E-05;28739;0,0583;0,6;
ACO35;37,2;7,8;0,305;19300;1,20E-05;3000;0;0,6;
ACO50;50;9,15;0,41;19000;1,20E-05;4310;0;0,6;
ACO80;81,91;11,96;0,649;18940;1,20E-05;6941;0;0,6;
ADSS;5,7;13;0,13;8000;1,09E-05;8000;0;0,6;
ADSS14KN;23;16,3;0,21;9500;7,00E-07;1400;0,111;0,6;
ADSS31 (QQ);30,5;14,7;0,169;9550;2,50E-06;1600;0;0,6;
ALACO105;106,8;13,43;0,376;7750;1,90E-05;3430;0;0,6;
ALACO147;147;14,7;0,548;7300;1,90E-05;5145;0;0,6;
ALACO151;151,8;15,89;0,522;7300;1,90E-05;4535;0;0,6;
ALACO160;157,2;16,28;0,545;7750;1,90E-05;4920;0,2137;0,6;
ALACO195;195;18,13;0,728;7875;1,77E-05;6875;0,1831;0,6;
ALACO20;21,99;6;0,077;8100;1,90E-05;660;0;0,6;
ALACO215;215,5;19,2;0,722;8700;1,70E-05;6460;0;0,6;
ALACO226;226,65;19,55;0,786;7700;1,90E-05;6845;0;0,6;
ALACO235;234,1;19,89;0,819;7750;1,90E-05;7100;0,1434;0,6;
ALACO245;245;20,5;0,865;8700;1,77E-05;7845;0,1434;0,6;
ALACO30;30,68;7,08;0,106;7940;1,90E-05;955;1,089;0,6;
ALACO326;326,1;23,45;1,218;7850;1,77E-05;11270;0,1093;0,6;
ALACO40;40,7;8,16;0,142;7750;1,90E-05;1130;0;0,6;
ALACO400;402,9;26,1;1,349;6720;1,90E-05;10987;0;0,6;
ALACO485;483,3;28,62;1,623;6850;1,90E-05;13621;0;0,6;
ALACO50;49,48;9;0,171;7940;1,90E-05;1585;0;0,6;
ALACO80;81,45;11,75;0,285;7750;1,90E-05;2260;0;0,6;
ALACO90;87,9;12;0,306;8100;1,90E-05;2610;0,382;0,6;
ALUW31;31,65;7,88;0,211;16170;1,30E-05;3910;0;0,6;
ASTER 288;288,39999;22,1;0,79430002;57000;2,30E-05;8506;0,1154;0,69999999;
CU120;116,2;14;1,062;10500;1,70E-05;4602;0,1546;0,6;
CU150;147,11;15,8;1,337;10500;1,70E-05;5898;0,1238;0,6;
CU153;153,72;16,1;1,397;10000;1,60E-05;5770;0;0,6;
CU16;15,89;5,1;0,1441;10500;1,70E-05;670;0;0,6;
CU185;181,6;17,4;1,63;106179;1,70E-05;6713,96;0,0989;0,6;
CU240;244,4;20,3;2,233;10500;1,70E-05;9248;0;0,6;
CU25;26,13;5,54;0,2368;10500;1,70E-05;1050;0;0,6;
CU300;299,4;22,5;2,747;10500;1,70E-05;11462;0;0,6;
CU35;35,85;7,5;0,327;10500;1,70E-05;1468;0;0,6;
CU376;376;25,2;3,48;10500;1,70E-05;13750;0;0,6;
CU400;400,14;26;3,64;10500;1,70E-05;16042;0,0457;0,6;
CU50;48,35;9;0,44;10500;1,70E-05;2100;0,3706;0,6;
CU500;499,83;29,1;4,545;10500;1,70E-05;20380;0,0365;0,6;
CU70;70,6;10,9;0,646;10500;1,70E-05;2871;0,2481;0,6;
CU85;85,95;12;0,782;10500;1,70E-05;2400;0;0,6;
CU95;93,27;12,5;0,85;10500;1,70E-05;3990;0;0,6;
GUINEA;127,54;14,63;0,59;10546;1,53E-05;6880;0,3578;0,6;
OPGW AA/ACS/ST 125/48 (QQ);175,35;17,5;0,694;8472;1,77E-05;9174;0,231;0,6;
OPGW AA/ACS/ST 40/79 (CABELTE);119;14,5;0,504;9128;1,75E-05;7375;0,347;0,6;
OPGW AA/ACS/ST 92/35 (QQ);129,09;15;0,513;8472;1,77E-05;6952;0,315;0,6;
OPGW AACSR/AW 182/10;192;19,8;0,633;6500;2,18E-05;7100;0,181;0,6;
OPGW AS/AA 47/94 AST (CABELTE);141;15,8;0,60299999;9200;1,72E-05;8500;0,347;0,60000002;
OPGW AS/AA/ST 32/113 (CABELTE);145;16;0,557;8200;1,80E-05;10295;0,292;0,6;
OPGW AS/AA/ST 34/170 (CABELTE);204;19;0,732;7500;1,95E-05;9180;0,19;0,6;
OPGW AS/AA/ST 42/226 (CABELTE);268;21,700001;0,95099998;7400;1,9E-05;11000;0,14;0,60000002;
OPGW AS/AY/ST 25/131 (SIEMENS);156;17,3;0,611;7600;1,90E-05;7850;0,25;0,6;
OPGW AY/ACS 127/28 (SIEMENS);155;17;0,58499998;7600;1,91E-05;3000;0,23;0,60000002;
OPGW161;161;19,1;0,6;6640;2,06E-05;6110;0,181;0,6;
OPGWACORES;86;15,3;0,48069;9670;1,66E-05;5780;0,3;0,6;
